Num_Acc;Département;Agglomération;Luminosité;Météo (conditions atmos.);Type de collision;Catégorie de route;Régime de circulation;Nombre de voies;État de la surface;Infrastructure;Situation de laccident;Vitesse max autorisée;Gravité (label)
202000000000;70;Hors agglomération;Crépuscule / aube;Brouillard / fumée;2 véhicules - frontale;Route départementale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;90;Blessé hospitalisé
202000000000;21;En agglomération;Plein jour;Temps éblouissant;Autre collision;Voie communale;Bidirectionnelle;2;Autre;Aucun;Sur chaussée;30;Blessé hospitalisé
202000000000;15;Hors agglomération;Crépuscule / aube;Normale;Autre collision;Voie communale;Bidirectionnelle;2;Normale;Aucun;Sur accotement;50;Blessé hospitalisé
202000000000;14;En agglomération;Plein jour;Temps éblouissant;2 véhicules - par le côté;Voie communale;Bidirectionnelle;4;Normale;Autres;Sur chaussée;50;Blessé léger
202000000000;13;Hors agglomération;Nuit avec éclairage public allumé;Pluie légère;3 véhicules et + - collisions multiples;Autoroute;Bidirectionnelle;4;Mouillée;Aucun;Sur chaussée;50;Blessé léger
202000000000;13;En agglomération;Nuit avec éclairage public allumé;Normale;2 véhicules - par le côté;Voie communale;Bidirectionnelle;3;Normale;Carrefour aménagé;Sur chaussée;50;Blessé léger
202000000000;13;En agglomération;Nuit avec éclairage public allumé;Normale;2 véhicules - par le côté;Parking ouvert à la circulation;Bidirectionnelle;2;Normale;Autres;Sur chaussée;50;Blessé hospitalisé
202000000000;7;En agglomération;Plein jour;Normale;2 véhicules - par larrière;Voie communale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;50;Blessé léger
202000000000;7;En agglomération;Nuit sans éclairage public;Normale;Autre collision;Voie communale;Bidirectionnelle;1;Normale;Aucun;Sur accotement;50;Blessé léger
202000000000;6;En agglomération;Nuit avec éclairage public allumé;Normale;Sans collision;Voie communale;Sens unique;2;Normale;Aucun;Sur piste cyclable;50;Blessé hospitalisé
202000000000;75;En agglomération;Crépuscule / aube;Normale;2 véhicules - par larrière;Voie communale;Sens unique;4;Normale;Aucun;Sur chaussée;70;Blessé léger
202000000000;75;En agglomération;Nuit sans éclairage public;Normale;Sans collision;Voie communale;Sens unique;4;Corps gras / huile;Aucun;Sur chaussée;70;Blessé léger
202000000000;75;En agglomération;Plein jour;Normale;Autre collision;Voie communale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;30;Blessé léger
202000000000;75;En agglomération;Plein jour;Normale;2 véhicules - par le côté;Voie communale;Sens unique;2;Normale;Aucun;Sur chaussée;30;Blessé léger
202000000000;75;En agglomération;Plein jour;Normale;2 véhicules - frontale;Voie communale;Sens unique;2;Normale;Aucun;Autres;20;Blessé léger
202000000000;75;En agglomération;Plein jour;Normale;2 véhicules - par le côté;Voie communale;Sens unique;2;Normale;Aucun;Sur piste cyclable;30;Blessé léger
202000000000;75;En agglomération;Plein jour;Normale;Autre collision;Voie communale;Sens unique;1;Normale;Aucun;Sur chaussée;30;Blessé léger
202000000000;75;En agglomération;Plein jour;Normale;2 véhicules - par le côté;Voie communale;Sens unique;2;Normale;Aucun;Sur chaussée;50;Blessé léger
202000000000;75;En agglomération;Plein jour;Normale;Autre collision;Voie communale;Sens unique;3;Mouillée;Aucun;Sur chaussée;30;Blessé léger
202000000000;94;En agglomération;Nuit avec éclairage public allumé;Normale;2 véhicules - frontale;Route départementale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;50;Blessé léger
202000000000;94;En agglomération;Plein jour;Normale;Autre collision;Route départementale;Chaussées séparées;4;Normale;Non renseigné;Sur autre voie spéciale;50;Blessé léger
202000000000;51;Hors agglomération;Plein jour;Normale;Autre collision;Route départementale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;80;Blessé léger
202000000000;51;En agglomération;Plein jour;Normale;2 véhicules - par le côté;Voie communale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;50;Blessé léger
202000000000;47;En agglomération;Nuit sans éclairage public;Normale;Autre collision;Voie communale;Bidirectionnelle;2;Normale;Aucun;Sur trottoir;50;Blessé hospitalisé
202000000000;45;En agglomération;Plein jour;Normale;3 véhicules et + - en chaîne;Route départementale;Chaussées séparées;4;Normale;Aucun;Sur chaussée;70;Blessé léger
202000000000;45;En agglomération;Plein jour;Normale;Autre collision;Voie communale;Bidirectionnelle;2;Normale;Aucun;Sur autre voie spéciale;25;Blessé léger
202000000000;44;En agglomération;Plein jour;Normale;Autre collision;Voie communale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;50;Blessé hospitalisé
202000000000;44;En agglomération;Plein jour;Temps éblouissant;Autre collision;Voie communale;Bidirectionnelle;2;Normale;Autres;Sur chaussée;30;Blessé léger
202000000000;42;En agglomération;Plein jour;Normale;Autre collision;Voie communale;Sens unique;2;Normale;Aucun;Sur chaussée;50;Blessé hospitalisé
202000000000;37;En agglomération;Plein jour;Normale;2 véhicules - par le côté;Voie communale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;50;Blessé léger
202000000000;35;En agglomération;Nuit avec éclairage public allumé;Normale;2 véhicules - par le côté;Voie communale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;30;Blessé hospitalisé
202000000000;34;Hors agglomération;Plein jour;Normale;2 véhicules - par larrière;Voie communale;Sens unique;1;Normale;Aucun;Sur chaussée;50;Blessé léger
202000000000;34;En agglomération;Plein jour;Normale;Autre collision;Voie communale;Bidirectionnelle;2;Normale;Chantier;Sur chaussée;50;Blessé léger
202000000000;33;En agglomération;Nuit avec éclairage public allumé;Normale;Autre collision;Voie communale;Bidirectionnelle;4;Normale;Aucun;Sur chaussée;50;Blessé hospitalisé
202000000000;33;En agglomération;Plein jour;Normale;2 véhicules - par le côté;Voie communale;Chaussées séparées;6;Normale;Aucun;Sur chaussée;50;Blessé léger
202000000000;33;En agglomération;Plein jour;Normale;2 véhicules - frontale;Voie communale;Bidirectionnelle;2;Normale;Aucun;Autres;50;Blessé léger
202000000000;29;En agglomération;Plein jour;Normale;Sans collision;Route départementale;Bidirectionnelle;1;Normale;Autres;Sur accotement;30;Blessé léger
202000000000;29;Hors agglomération;Plein jour;Normale;3 véhicules et + - collisions multiples;Route nationale;Bidirectionnelle;2;Normale;Chantier;Sur chaussée;80;Blessé léger
202000000000;28;En agglomération;Plein jour;Normale;2 véhicules - par le côté;Voie communale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;50;Blessé léger
202000000000;27;En agglomération;Plein jour;Normale;3 véhicules et + - collisions multiples;Route départementale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;50;Blessé léger
202000000000;76;En agglomération;Nuit sans éclairage public;Normale;Autre collision;Voie communale;Bidirectionnelle;2;Normale;Aucun;Sur trottoir;50;Blessé hospitalisé
202000000000;59;Hors agglomération;Plein jour;Normale;2 véhicules - par le côté;Route départementale;Bidirectionnelle;2;Normale;Autres;Sur chaussée;70;Blessé léger
202000000000;94;En agglomération;Plein jour;Normale;Autre collision;Voie communale;Sens unique;1;Normale;Aucun;Sur chaussée;50;Blessé léger
202000000000;13;Hors agglomération;Plein jour;Pluie légère;2 véhicules - par le côté;Autoroute;Non renseigné;3;Mouillée;Chantier;Sur chaussée;70;Blessé hospitalisé
202000000000;92;En agglomération;Plein jour;Normale;2 véhicules - frontale;Voie communale;Chaussées séparées;2;Normale;Aucun;Autres;50;Blessé léger
202000000000;83;Hors agglomération;Plein jour;Normale;Autre collision;Autoroute;Sens unique;1;Mouillée;Bretelle déchangeur / raccordement;Sur chaussée;70;Blessé léger
202000000000;92;En agglomération;Plein jour;Normale;Autre collision;Voie communale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;30;Blessé léger
202000000000;33;Hors agglomération;Plein jour;Normale;3 véhicules et + - en chaîne;Autoroute;Chaussées séparées;6;Normale;Bretelle déchangeur / raccordement;Sur chaussée;90;Blessé léger
202000000000;35;Hors agglomération;Nuit sans éclairage public;Normale;Autre collision;Route départementale;Bidirectionnelle;2;Normale;Aucun;Sur accotement;70;Blessé hospitalisé
202000000000;91;Hors agglomération;Crépuscule / aube;Pluie légère;Autre collision;Route nationale;Chaussées séparées;1;Mouillée;Aucun;Sur chaussée;70;Blessé léger
202000000000;972;Hors agglomération;Crépuscule / aube;Normale;Sans collision;Route départementale;Chaussées séparées;2;Normale;Aucun;Sur chaussée;70;Blessé hospitalisé
202000000000;94;Hors agglomération;Plein jour;Normale;2 véhicules - par le côté;Autoroute;Sens unique;2;Normale;Aucun;Sur chaussée;90;Blessé léger
202000000000;22;Hors agglomération;Plein jour;Normale;Autre collision;Route départementale;Chaussées séparées;2;Mouillée;Aucun;Sur accotement;110;Blessé hospitalisé
202000000000;94;Hors agglomération;Plein jour;Normale;3 véhicules et + - collisions multiples;Autoroute;Non renseigné;2;Normale;Aucun;Sur chaussée;70;Blessé léger
202000000000;92;Hors agglomération;Plein jour;Pluie légère;3 véhicules et + - collisions multiples;Route nationale;Sens unique;3;Mouillée;Souterrain / tunnel;Sur chaussée;70;Blessé léger
202000000000;78;Hors agglomération;Plein jour;Temps couvert;2 véhicules - par le côté;Route nationale;Chaussées séparées;2;Normale;Bretelle déchangeur / raccordement;Sur chaussée;50;Blessé léger
202000000000;62;En agglomération;Plein jour;Normale;2 véhicules - par le côté;Route départementale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;50;Blessé léger
202000000000;95;Hors agglomération;Plein jour;Pluie légère;2 véhicules - par larrière;Autoroute;Chaussées séparées;6;Mouillée;Aucun;Sur chaussée;110;Blessé léger
202000000000;83;Hors agglomération;Plein jour;Normale;2 véhicules - par le côté;Route départementale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;90;Blessé léger
202000000000;95;Hors agglomération;Plein jour;Normale;2 véhicules - frontale;Autoroute;Chaussées séparées;8;Normale;Aucun;Sur chaussée;110;Blessé léger
202000000000;35;Hors agglomération;Crépuscule / aube;Normale;2 véhicules - par larrière;Route départementale;Chaussées séparées;4;Normale;Aucun;Sur chaussée;110;Blessé léger
202000000000;51;En agglomération;Nuit avec éclairage public allumé;Normale;Autre collision;Route départementale;Bidirectionnelle;2;Normale;Carrefour aménagé;Sur chaussée;50;Blessé hospitalisé
202000000000;94;Hors agglomération;Plein jour;Normale;2 véhicules - par larrière;Autoroute;Chaussées séparées;3;Normale;Souterrain / tunnel;Sur chaussée;90;Blessé léger
202000000000;67;En agglomération;Plein jour;Normale;2 véhicules - par le côté;Route départementale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;50;Blessé léger
202000000000;77;Hors agglomération;Nuit sans éclairage public;Normale;Sans collision;Autoroute;Sens unique;3;Mouillée;Aucun;Sur chaussée;70;Blessé léger
202000000000;61;En agglomération;Nuit avec éclairage public non allumé;Normale;Autre collision;Route départementale;Bidirectionnelle;2;Mouillée;Aucun;Sur accotement;50;Blessé léger
202000000000;47;Hors agglomération;Nuit sans éclairage public;Pluie légère;Autre collision;Route nationale;Chaussées séparées;2;Mouillée;Aucun;Sur chaussée;110;Blessé hospitalisé
202000000000;54;En agglomération;Nuit avec éclairage public allumé;Normale;2 véhicules - par le côté;Voie communale;Bidirectionnelle;2;Normale;Aucun;Sur chaussée;50;Blessé hospitalisé
202000000000;22;Hors agglomération;Plein jour;Pluie légère;Autre collision;Route départementale;Bidirectionnelle;2;Mouillée;Aucun;Sur accotement;80;Blessé léger
