Num_Acc;Département;Agglomération;Luminosité;Météo (conditions atmos.);Type de collision;Catégorie de route;Régime de circulation;Nombre de voies;État de la surface;Infrastructure;Situation de l’accident;Vitesse max autorisée;Gravité (label)
2,02E+11;70;Hors agglomération;Crépuscule / aube;Brouillard / fumée;2 véhicules - frontale;Route départementale;Bidirectionnelle;2 voie(s);Normale;Aucun;Sur chaussée;90 km/h;Blessé hospitalisé
2,02E+11;21;En agglomération;Plein jour;Temps éblouissant;Autre collision;Voie communale;Bidirectionnelle;2 voie(s);Autre;Aucun;Sur chaussée;30 km/h;Blessé hospitalisé
2,02E+11;15;Hors agglomération;Crépuscule / aube;Normale;Autre collision;Voie communale;Bidirectionnelle;2 voie(s);Normale;Aucun;Sur accotement;50 km/h;Blessé hospitalisé
2,02E+11;14;En agglomération;Plein jour;Temps éblouissant;2 véhicules - par le côté;Voie communale;Bidirectionnelle;4 voie(s);Normale;Autres;Sur chaussée;50 km/h;Blessé léger
2,02E+11;13;Hors agglomération;Nuit avec éclairage public allumé;Pluie légère;3 véhicules et + - collisions multiples;Autoroute;Bidirectionnelle;4 voie(s);Mouillée;Aucun;Sur chaussée;50 km/h;Blessé léger
2,02E+11;13;En agglomération;Nuit avec éclairage public allumé;Normale;2 véhicules - par le côté;Voie communale;Bidirectionnelle;3 voie(s);Normale;Carrefour aménagé;Sur chaussée;50 km/h;Blessé léger
2,02E+11;13;En agglomération;Nuit avec éclairage public allumé;Normale;2 véhicules - par le côté;Parking ouvert à la circulation;Bidirectionnelle;2 voie(s);Normale;Autres;Sur chaussée;50 km/h;Blessé hospitalisé
2,02E+11;7;En agglomération;Plein jour;Normale;2 véhicules - par l’arrière;Voie communale;Bidirectionnelle;2 voie(s);Normale;Aucun;Sur chaussée;50 km/h;Blessé léger
2,02E+11;7;En agglomération;Nuit sans éclairage public;Normale;Autre collision;Voie communale;Bidirectionnelle;1 voie(s);Normale;Aucun;Sur accotement;50 km/h;Blessé léger
2,02E+11;6;En agglomération;Nuit avec éclairage public allumé;Normale;Sans collision;Voie communale;Sens unique;2 voie(s);Normale;Aucun;Sur piste cyclable;50 km/h;Blessé hospitalisé
2,02E+11;75;En agglomération;Crépuscule / aube;Normale;2 véhicules - par l’arrière;Voie communale;Sens unique;4 voie(s);Normale;Aucun;Sur chaussée;70 km/h;Blessé léger
2,02E+11;75;En agglomération;Nuit sans éclairage public;Normale;Sans collision;Voie communale;Sens unique;4 voie(s);Corps gras / huile;Aucun;Sur chaussée;70 km/h;Blessé léger
